                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.3016,                 0.8341,                 1.0611,                0.44738,                0.30604,                0.34944,                0.20006,                 1.2278,                0.78469,                 1.0426,               0.003268,               0.003268,               0.003268
                     71,                 1.3018,                0.83189,                  1.057,                0.50942,                0.30507,                 0.3512,                0.20165,                 1.2274,                0.78159,                  1.042,               0.003169,               0.003169,               0.003169
                     72,                 1.2981,                0.82805,                 1.0559,                0.45862,                0.30023,                0.35361,                0.20318,                  1.228,                0.78001,                 1.0423,                0.00307,                0.00307,                0.00307
                     73,                  1.288,                0.82717,                 1.0525,                0.50045,                0.31701,                0.35398,                0.20247,                 1.2249,                0.77791,                 1.0406,               0.002971,               0.002971,               0.002971
                     74,                 1.2928,                0.82881,                 1.0537,                 0.5067,                 0.3107,                0.35522,                0.20398,                 1.2254,                0.77797,                 1.0404,               0.002872,               0.002872,               0.002872
                     75,                 1.2894,                0.82327,                 1.0529,                0.50779,                0.31113,                0.35613,                0.20402,                 1.2234,                0.77601,                   1.04,               0.002773,               0.002773,               0.002773
                     76,                 1.2824,                0.82063,                 1.0514,                0.49541,                0.31653,                0.35753,                 0.2045,                 1.2237,                0.77483,                   1.04,               0.002674,               0.002674,               0.002674
                     77,                 1.2878,                0.82187,                 1.0504,                0.50937,                0.31248,                0.35707,                0.20553,                 1.2226,                0.77333,                 1.0389,               0.002575,               0.002575,               0.002575
                     78,                 1.2823,                0.81896,                 1.0531,                 0.5018,                0.31693,                0.35876,                0.20594,                 1.2215,                0.77317,                 1.0381,               0.002476,               0.002476,               0.002476
                     79,                 1.2804,                 0.8131,                  1.048,                0.50352,                0.31402,                0.35783,                0.20532,                 1.2204,                0.77324,                 1.0382,               0.002377,               0.002377,               0.002377
                     80,                 1.2776,                0.81118,                 1.0449,                0.51735,                0.31188,                0.36064,                0.20673,                  1.219,                0.76949,                 1.0375,               0.002278,               0.002278,               0.002278
                     81,                   1.27,                0.80533,                 1.0461,                0.50891,                0.31405,                0.36067,                0.20766,                 1.2174,                0.76803,                 1.0364,               0.002179,               0.002179,               0.002179
